country;director;genre;imdb_rating;title;year
['ЮАР', 'США'];['Роланд Эммерих'];['приключенческий боевик'];5.1;10 000 лет до нашей эры;2008
['Россия', 'Украина'];['Фёдор Бондарчук'];['военно', '-', 'исторический', 'боевик', 'драма'];7.1;9 рота;2005
['Россия'];['Авдотья Смирнова', 'Александр Котт', 'Владимир Котт', 'Евгений Лаврентьев', 'Карен Оганесян', 'Максим Пежемский', 'Егор Кончаловский', 'Василий Чигинский'];['Телеальманах'];6.3;9 мая. Личное отношение;2010
['Россия'];['Олег Штром'];['биография драма'];4.5;9 секунд;2024
['Франция'];['Альбер Дюпонтель'];['комедия'];6.4;9 месяцев строгого режима;2013
['Великобритания'];['Майкл Уинтерботтом'];['драма', 'мелодрама', 'музыкальный фильм', 'эротика'];4.8;9 песен;2004
['США'];['Эмметт Олстон'];['боевик'];3.9;9 смертей ниндзя;1985
['Япония'];['Тосиаки Тоёда'];['фильм-драма'];7.1;9 душ;2003
['Великобритания'];['Лаб Ки Мо'];['драма', 'комедия'];6.2;9 мёртвых геев;2002
['Испания'];['Перис Романо Родриго Сорогойен'];['Романтическая кинокомедия'];6.0;8 свиданий;2008
['Дания'];['Рони Эзра'];['Военный драма'];6.6;9 апреля;2015
['Франция', 'Италия'];['Франсуа Озон'];['мюзикл', 'комедия', 'детектив'];7.0;8 женщин;2002
['США'];['Гэри Росс'];['кинокомедия', 'криминальный фильм'];6.3;8 подруг Оушена;2018
['США'];['Майкл Даус'];['комедия'];6.7;8-битное Рождество;2021
['Россия'];['Григорий Константинопольский'];['комедийный фильм'];6.4;8 ½ $;1999
['Испания'];['Начо Вигалондо'];['короткометражный', 'музыкальный'];7.3;7:35 утра;2010
['Россия', 'Украина'];['Марюс Вайсберг'];['комедия', 'мелодрама'];3.9;8 лучших свиданий;2016
['Великобритания', 'США'];['Сэм Мендес'];['шпионский фильм'];6.8;007: Спектр;2015
['Парагвай'];['Хуан Карлос Манелья', 'Тана Шембори'];['триллер', 'криминал'];7.1;7 ящиков;2012
['Россия'];['Владимир Потапов'];['боевик', 'драма'];5.6;Ноль-седьмой меняет курс;2007
['Россия', 'Украина'];['Дэвид Додсон', 'Александр Маляревский'];['мелодрама', 'комедия'];6.0;8 первых свиданий;2012
['Казахстан'];['Аскар Узабаев'];['комедийный фильм'];;5 причин не влюбиться в казаха;2017
['США', 'Германия'];['Джоэл Шумахер'];['триллер', 'криминал'];6.6;8 миллиметров;1999
['США'];['Джон Форд'];['драма'];6.7;7 женщин;1966
['Великобритания'];['Саймон Кёртис'];['драма', 'биография'];6.9;7 дней и ночей с Мэрилин;2011
['США', 'Германия', 'Чехия'];['Себастьян Ниман'];['драма', 'фильм ужасов', 'триллер'];5.1;7 дней до смерти;2000
['Россия'];['Вадим Соколовский'];['комедия', 'мелодрама'];1.5;7 главных желаний;2013
['США', 'Румыния', 'Швейцария', 'Великобритания'];['Саймон Феллоуз'];['боевик'];4.8;7 секунд;2005
['США'];['Роджер Споттисвуд'];['киберпанк'];5.9;6-й день;2000
['Россия'];['Айк Кбеян'];['семейное кино'];5.7;7 дней, 7 ночей;2024
['Франция'];['Франсуа Озон'];['мелодрама', 'драма'];6.6;5×2;2004
['Великобритания', 'США'];['Сэм Мендес'];['шпионский фильм'];7.8;007: Координаты «Скайфолл»;2012
['Украина'];['Алиса Павловская'];['драма', 'триллер', 'биография'];7.4;5 терапия;2017
['Великобритания', 'Новая Зеландия'];['Тоа Фрейзер'];['боевик', 'триллер'];6.2;6 дней;2017
['Великобритания'];['Ноэль Кларк'];['триллер', 'электро-хаус', 'соул', 'RnB', 'хип-хоп', 'грайм'];5.8;4.3.2.1;2010
['Израиль', 'ПНА', 'Франция', 'Нидерланды'];['Эмад Бурнат Гай Давиди'];['документальный фильм'];7.9;5 разбитых камер;2011
['США', 'Грузия'];['Ренни Харлин'];['военный', 'боевик', 'пропагандистский фильм'];5.5;5 дней в августе;2011
['США'];['Симон Бранд'];['триллер'];6.4;5 неизвестных...;2006
['США'];['Спайк Ли'];['Исторический документальный'];7.8;4 маленькие девочки;1997
['Германия', 'Украина', 'Россия'];['Ахим фон Боррис'];['военная', 'драма', 'боевик'];6.4;4 дня в мае;2011
['СССР'];['Борис Эпштейн'];['игровое кино'];;Чудотворец из Бирюлёва;1958
['СССР'];['Илья Гутман', 'Иосиф Пастернак'];['документальный', 'спорт'];;«Спартак»: действующие лица… и болельщики;1985
['США'];['Дж Блэйксон'];['постапокалиптика', 'научная фантастика'];5.2;5-я волна;2016
['СССР'];['Радомир Василевский'];['комедия'];6.9;4:0 в пользу Танечки;1982
['Румыния'];['Кристиан Мунджиу'];['психологическая', 'драма'];7.9;4 месяца, 3 недели и 2 дня;2007
['Финляндия', 'Норвегия', 'Швеция', 'Дания'];['Рольф Клеменс Палле Кьерулф-Шмидт Мауну Куркваара'];['драма комедия'];6.9;4 x 4;1965
['Украина'];['Иван Гаврилюк', 'Сайдо Курбанов'];['детектив'];5.1;4 листа фанеры;1992
['США'];['Абель Феррара'];['драма', 'фантастика'];4.6;4:44. Последний день на Земле;2011
['Россия'];['Александр Андреев'];['трагикомедия'];4.7;5 недель;2021
['Великобритания'];['Питер Гринуэй'];['документальный', 'музыкальный'];7.4;4 американских композитора;1983
['США'];['Рассел Малкэхи'];['биографическая', 'спортивная', 'драма'];6.7;3: История Дейла Эрнхардта;2004
['Россия', 'Нидерланды'];['Илья Хржановский'];['драма'];6.5;Четыре;2004
['США'];['Гэбриэль Коуэн'];['драма'];4.5;3 ночи в пустыне;2014
['СССР'];['Аркадий Кольцатый', 'Валентин Перов'];['драма', 'приключения'];5.4;«SOS» над тайгой;1976
['США'];['Энтони Хайнс', 'Каспер Кристенсен'];['романтическая комедия', 'научно-фантастический фильм'];5.5;(Не)идеальные роботы;2023
['Франция'];['Стефан Бризе'];['драматический фильм'];6.5;(Не)бывшие;2024
['Армения', 'Франция', 'Россия'];['Арам Шахбазян'];[];8.0;«Москвич», любовь моя;2015
['Индия'];['Раджкумар Хирани'];['комедия', 'драма'];8.4;3 идиота;2009
['Великобритания'];['Питер Дэвисон'];['комедийный фильм', 'кинопародия'];8.5;(Почти) Пять Докторов: Перезагрузка;2013
['СССР'];['Вячеслав Винник'];['спортивный фильм'];2.7;…И прекрасный миг победы;1984
['СССР'];['Леонид Осыка'];['документально', '-', 'биографический фильм'];7.4;…которого любили все;1982
['Чехословакия'];['Яромил Йиреш'];['драма военный'];6.8;…и передайте привет ласточкам;1972
['Чехословакия'];['Збынек Брыных'];['драма военный арт-хаус'];7.2;…а пятый всадник – Страх;1965
['Индонезия'];['Ханун Брамантйо'];['драматический фильм'];7.0;?;2011
['США'];['Ирвин Виллат'];['мелодрама', 'приключения'];6.4;Авиапочта;1925
['СССР'];['Камиль Ярматов'];['Биографический фильм', 'исторический фильм'];6.2;Авиценна;1956
['США', 'Италия', 'Великобритания'];['Джозеф Сарджент'];['драма'];7.0;Авраам: Хранитель веры;1994
['Израиль'];['Шеми Зархин'];['драматический фильм'];7.2;Авива, любовь моя;2006
['США', 'Германия'];['Мартин Скорсезе'];['фильм-биография', 'драма'];7.5;Авиатор;2004
['Польша'];['Януш Насфетер'];['психологическая', 'драма'];7.0;Авель, твой брат;1970
['Украина'];['Людмила Ефименко'];['драма', 'мелодрама'];7.4;Аве Мария;1999
['СССР'];['Александр Муратов'];['киноповесть', 'драма', 'социальная драма'];6.3;Авдотья Павловна;1966
['США'];['Энтони Майкл Холл'];['комедия'];3.2;Аве Цезарь;1994
['США'];['Линдсей Андерсон'];['драма'];7.1;Августовские киты;1987
['Россия'];['Джаник Файзиев'];['военный', 'боевик', 'драма'];5.6;Август. Восьмого;2012
['Япония'];['Акира Куросава'];['драма'];7.2;Августовская рапсодия;1991
['США'];['Джеймс Кэмерон'];['эпический фильм', 'научная фантастика', 'боевик', 'приключения'];7.5;«Аватар: Путь воды»  Внешние видеофайлы;2022
['США'];['Джон Уэллс'];['драма'];7.2;Август: Графство Осейдж;2013
['США'];['Кирстен Шеридан'];['драма', 'мелодрама'];7.4;Август Раш;2007
['Япония'];['Сацуо Ямамото'];['драма', 'триллер'];6.7;Август без императора;1978
['Польша'];['Януш Маевский'];['фантастика', 'драма'];6.8;Аватар, или Замена душ;1964
['США'];['Джеймс Кэмерон'];['эпический фильм', 'научная фантастика', 'боевик', 'приключения', 'фэнтези'];;Аватар: Огонь и пепел;2025
